CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,Churn
1,25,Male,12,65.5,786.0,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,1
2,45,Female,48,85.2,4089.6,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
3,32,Male,6,45.0,270.0,Month-to-month,Mailed check,DSL,No,No,No,Yes,1
4,58,Female,72,95.5,6876.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
5,29,Male,3,55.0,165.0,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,1
6,41,Female,36,75.8,2728.8,One year,Credit card,DSL,Yes,Yes,No,No,0
7,55,Male,60,89.9,5394.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
8,23,Female,2,35.0,70.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
9,67,Male,84,99.5,8358.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,0
10,38,Female,24,68.5,1644.0,One year,Bank transfer,DSL,Yes,No,Yes,No,0
11,27,Male,8,52.0,416.0,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,1
12,49,Female,54,88.0,4752.0,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
13,31,Male,4,48.5,194.0,Month-to-month,Mailed check,DSL,No,No,No,Yes,1
14,62,Female,68,92.0,6256.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
15,24,Male,1,42.0,42.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
16,44,Female,42,79.5,3339.0,One year,Credit card,DSL,Yes,Yes,Yes,No,0
17,53,Male,66,94.2,6217.2,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
18,28,Female,5,50.0,250.0,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,1
19,36,Male,30,72.0,2160.0,One year,Credit card,DSL,Yes,No,No,No,0
20,61,Female,78,97.5,7605.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
21,22,Male,3,38.0,114.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
22,47,Female,50,86.5,4325.0,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
23,34,Male,7,54.0,378.0,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,1
24,59,Female,70,93.8,6566.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
25,26,Male,2,40.0,80.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
26,42,Female,38,77.2,2933.6,One year,Credit card,DSL,Yes,Yes,No,No,0
27,51,Male,62,91.0,5642.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
28,30,Female,9,58.0,522.0,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,1
29,64,Male,82,98.0,8036.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,0
30,35,Female,18,66.0,1188.0,One year,Bank transfer,DSL,Yes,No,Yes,No,0
31,21,Male,1,32.0,32.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
32,48,Female,52,87.5,4550.0,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
33,33,Male,10,60.0,600.0,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,1
34,57,Female,64,90.5,5792.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
35,25,Male,4,46.0,184.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
36,43,Female,40,78.0,3120.0,One year,Credit card,DSL,Yes,Yes,Yes,No,0
37,52,Male,58,89.0,5162.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
38,29,Female,6,53.0,318.0,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,1
39,66,Male,80,96.5,7720.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,0
40,37,Female,22,69.0,1518.0,One year,Bank transfer,DSL,Yes,No,No,No,0
41,23,Male,2,36.0,72.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
42,46,Female,46,84.0,3864.0,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
43,31,Male,5,49.0,245.0,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,1
44,60,Female,72,95.0,6840.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
45,27,Male,3,44.0,132.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
46,50,Female,56,88.5,4956.0,Two year,Credit card,DSL,Yes,Yes,Yes,No,0
47,39,Male,32,74.0,2368.0,One year,Bank transfer,DSL,Yes,Yes,No,No,0
48,54,Female,60,91.5,5490.0,Two year,Credit card,Fiber optic,Yes,Yes,Yes,No,0
49,24,Male,1,34.0,34.0,Month-to-month,Electronic check,DSL,No,No,No,Yes,1
50,63,Female,76,97.0,7372.0,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,0
